subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-8cec59,A-3c1a3f,2023-12-23,2024-12-04,Enterprise,14,2786.00,33432.00,f,f,f,t,monthly,t
S-0f6f44,A-9b9fe9,2024-11-06,,Pro,17,833.00,9996.00,f,f,f,f,monthly,t
S-51c0d1,A-659280,2024-11-25,,Enterprise,62,0.00,0.00,t,t,f,f,annual,f
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995.00,11940.00,f,f,f,t,monthly,t
S-cff5a2,A-ba6516,2024-10-01,,Enterprise,27,5373.00,64476.00,f,f,f,f,monthly,t
S-4b9b13,A-fa2041,2024-08-13,,Pro,15,735.00,8820.00,f,f,f,f,monthly,t
S-dceac6,A-417d2f,2023-12-30,,Enterprise,4,796.00,9552.00,f,f,f,f,annual,t
S-8cad7b,A-5f2961,2024-12-23,,Basic,16,304.00,3648.00,f,f,f,f,annual,t
S-24796e,A-cc8c8f,2024-11-27,,Enterprise,23,4577.00,54924.00,f,f,f,f,annual,f
S-d0c344,A-80eeb6,2024-10-27,,Pro,22,1078.00,12936.00,f,f,f,f,annual,f
S-477506,A-f03140,2024-06-02,,Pro,27,1323.00,15876.00,f,f,f,f,annual,t
S-79a9e1,A-3a5ad8,2024-12-25,,Enterprise,22,0.00,0.00,t,f,f,f,annual,t
S-59dc4b,A-f17767,2023-09-17,,Pro,26,1274.00,15288.00,f,t,t,f,monthly,t
S-7acd8b,A-7920cc,2024-07-17,,Basic,39,741.00,8892.00,f,f,f,f,annual,t
S-428e9a,A-8ae3fc,2024-12-10,,Enterprise,88,0.00,0.00,t,f,f,f,monthly,t
S-486088,A-0cc442,2024-09-18,,Pro,45,2205.00,26460.00,f,f,f,f,monthly,t
S-13939b,A-86902e,2023-07-21,2024-03-08,Pro,34,0.00,0.00,t,f,f,t,monthly,t
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152.00,1824.00,f,f,f,t,annual,f
S-37e3ad,A-b30291,2024-04-25,,Basic,5,95.00,1140.00,f,f,f,f,monthly,t
S-b17d04,A-e19ff6,2024-06-03,,Pro,8,392.00,4704.00,f,f,f,f,monthly,t
S-c27134,A-dec005,2024-03-31,,Pro,21,0.00,0.00,t,f,f,f,monthly,t
S-3bd427,A-2e3bad,2024-04-12,2024-12-27,Basic,61,1159.00,13908.00,f,f,f,t,monthly,t
S-82989b,A-f5641b,2024-11-30,,Basic,31,589.00,7068.00,f,f,f,f,monthly,t
S-082b15,A-aa9511,2024-09-02,,Enterprise,97,19303.00,231636.00,f,f,f,f,annual,t
S-434140,A-075038,2024-02-25,,Pro,17,833.00,9996.00,f,f,f,f,annual,t
S-c07ede,A-cea1f0,2024-07-10,,Pro,8,392.00,4704.00,f,f,f,f,annual,f
S-287914,A-a1b80b,2024-08-15,,Pro,16,784.00,9408.00,f,f,f,f,annual,t
S-b3bd43,A-b2225d,2024-03-11,,Pro,50,2450.00,29400.00,f,f,f,f,monthly,f
S-4c82da,A-b9eed8,2024-01-08,,Pro,11,539.00,6468.00,f,f,f,f,monthly,f
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169.00,74028.00,f,f,f,t,monthly,t
S-b5643b,A-9f9299,2024-11-06,,Enterprise,28,5572.00,66864.00,f,f,f,f,annual,f
S-49a9aa,A-10b8f2,2023-06-16,,Basic,51,969.00,11628.00,f,f,f,f,annual,t
S-2877e6,A-95b24a,2024-06-28,,Enterprise,38,0.00,0.00,t,t,t,f,monthly,t
S-8c10c1,A-0651a4,2024-12-25,,Enterprise,65,12935.00,155220.00,f,f,f,f,annual,t
S-d7d398,A-fb186e,2024-12-28,,Enterprise,29,0.00,0.00,t,f,f,f,annual,t
S-ddad91,A-40906c,2024-06-21,,Enterprise,92,0.00,0.00,t,f,f,f,annual,f
S-6762fa,A-40a557,2024-12-02,,Enterprise,16,3184.00,38208.00,f,f,f,f,annual,t
S-bb1cf1,A-3a5ad8,2024-07-09,,Enterprise,9,0.00,0.00,t,t,f,f,monthly,f
S-a805a5,A-2789e3,2024-09-18,,Basic,33,627.00,7524.00,f,f,f,f,monthly,t
S-da0a69,A-49b828,2023-11-05,,Pro,6,294.00,3528.00,f,f,f,f,monthly,t
S-59c5d7,A-c16b88,2024-10-19,,Basic,35,665.00,7980.00,f,t,f,f,monthly,t
S-d3faae,A-5c9849,2024-12-11,,Basic,19,361.00,4332.00,f,f,f,f,monthly,t
S-73a4e4,A-993085,2024-09-09,,Pro,31,1519.00,18228.00,f,f,f,f,monthly,t
S-35c8a3,A-e4144b,2024-12-22,,Enterprise,41,8159.00,97908.00,f,f,f,f,annual,t
S-99fbf7,A-7dacce,2024-10-09,,Enterprise,12,2388.00,28656.00,f,f,f,f,annual,t
S-e97b9f,A-a0ca4e,2024-03-16,,Enterprise,12,2388.00,28656.00,f,f,f,f,annual,t
S-763d33,A-ef84cf,2024-07-25,,Basic,23,437.00,5244.00,f,f,t,f,annual,f
S-323782,A-7920cc,2024-02-22,,Basic,39,741.00,8892.00,f,f,f,f,monthly,t
S-1cff18,A-2789e3,2024-03-10,,Basic,11,209.00,2508.00,f,f,f,f,monthly,t
S-ad39ef,A-e40f45,2024-08-25,,Pro,21,0.00,0.00,t,t,f,f,annual,t
S-bf806d,A-7c5768,2024-09-21,,Basic,62,1178.00,14136.00,f,f,f,f,annual,t
S-36f6ec,A-ccb686,2024-08-16,,Pro,21,1029.00,12348.00,f,t,f,f,monthly,t
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0.00,0.00,t,f,f,t,monthly,t
S-b9fc6c,A-2ebb4b,2023-06-16,,Basic,41,779.00,9348.00,f,f,f,f,annual,t
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980.00,47760.00,f,f,f,t,monthly,t
S-e912e6,A-a8d89d,2023-12-12,,Enterprise,78,15522.00,186264.00,f,f,f,f,monthly,t
S-fef85a,A-7f8241,2024-06-08,,Pro,34,1666.00,19992.00,f,f,f,f,annual,t
S-36d5c9,A-54ecc2,2023-09-16,,Enterprise,11,2189.00,26268.00,f,f,f,f,monthly,t
S-b9ff15,A-95b24a,2024-08-01,,Enterprise,43,8557.00,102684.00,f,f,f,f,annual,f
S-10bd09,A-bbc346,2024-03-09,,Basic,50,950.00,11400.00,f,f,f,f,annual,t
S-12bfc8,A-31ab9a,2024-06-12,,Enterprise,29,5771.00,69252.00,f,f,f,f,monthly,f
