ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-0024de,A-712f1c,2023-07-27 00:00:00,2023-07-28 00:00:00,27.00,high,74,,f
T-4d04b9,A-e43bf7,2024-07-08 00:00:00,2024-07-09 00:00:00,27.00,urgent,144,,f
T-d5e12f,A-0f3e88,2024-10-17 00:00:00,2024-10-17 00:00:00,19.00,urgent,93,4,f
T-dfce9a,A-4c56c9,2024-09-08 00:00:00,2024-09-09 00:00:00,47.00,medium,126,5,f
T-c59f77,A-6f8ad2,2024-11-30 00:00:00,2024-12-01 00:00:00,26.00,medium,8,,f
T-90f06d,A-94c3cd,2023-07-27 00:00:00,2023-07-27 00:00:00,9.00,medium,60,,f
T-30b537,A-2e4581,2023-09-09 00:00:00,2023-09-10 00:00:00,27.00,urgent,64,3,f
T-60242d,A-72799b,2024-01-29 00:00:00,2024-01-29 00:00:00,12.00,low,56,4,t
T-7119c9,A-b179bf,2023-08-27 00:00:00,2023-08-27 00:00:00,16.00,urgent,154,,f
T-b0edf2,A-7cfe77,2024-05-06 00:00:00,2024-05-07 00:00:00,28.00,medium,150,3,f
T-98a84a,A-157070,2023-12-20 00:00:00,2023-12-21 00:00:00,42.00,low,26,,f
T-04457d,A-854864,2024-07-18 00:00:00,2024-07-20 00:00:00,48.00,medium,140,5,f
T-6bd715,A-4e0e85,2024-05-14 00:00:00,2024-05-16 00:00:00,50.00,medium,129,,f
T-13f1b8,A-5b4ebb,2023-12-05 00:00:00,2023-12-06 00:00:00,26.00,low,121,5,f
T-a3288b,A-098560,2024-12-28 00:00:00,2024-12-30 00:00:00,55.00,low,26,3,f
T-f8e2c3,A-40a557,2024-03-01 00:00:00,2024-03-03 00:00:00,69.00,high,60,,f
T-4e7816,A-05f0e5,2024-10-03 00:00:00,2024-10-04 00:00:00,36.00,low,108,,f
T-0dea8b,A-671f31,2024-01-24 00:00:00,2024-01-26 00:00:00,60.00,medium,45,3,f
T-ca96ba,A-410e86,2024-04-28 00:00:00,2024-04-28 00:00:00,3.00,high,64,,f
T-ac0b69,A-ac9111,2024-03-02 00:00:00,2024-03-02 00:00:00,14.00,low,86,,f
T-0f1c67,A-78f02b,2024-10-09 00:00:00,2024-10-11 00:00:00,48.00,low,51,4,f
T-4fb3f2,A-c62e55,2023-03-05 00:00:00,2023-03-07 00:00:00,59.00,medium,136,3,f
